Lookup	ID	Ndex	Species	Forme	Type1	Type2	Ability1	Ability2	AbilityH	HP	Attack	Defense	SpAttack	SpDefense	Speed	Total	Weight	Height	Dex1	Dex2	Class	%Male	%Female	Pre-Evolution	Egg Group 1	Egg Group 2	Type Concat	Ability Concat
Magby	240	240	Magby	Magby	Fire	#N/A	Flame Body	#N/A	Vital Spirit	45	75	37	70	55	83	365	47.2 lbs.	2'04"	Many of these Pokémon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F.	A famous potter lives with a Magby. Apparently its soft flames produce fine works.	Live Coal Pokémon	0.75	0.25	#N/A	Undiscovered	#N/A	Fire	Flame Body / Vital Spirit*
Miltank	241	241	Miltank	Miltank	Normal	#N/A	Thick Fat	Scrappy	Sap Sipper	95	80	105	40	70	100	490	166.4 lbs.	3'11"	Its milk is high in calories and packed with nutrients. Therefore, if you drink too much of it, you may wind up with a body like Miltank's.	Most people raise it for its milk, but it's quite tough and strong, so it's also well suited for battle.	Milk Cow Pokémon	0	1	#N/A	Field	#N/A	Normal	Thick Fat / Scrappy / Sap Sipper*
Blissey	242	242	Blissey	Blissey	Normal	#N/A	Natural Cure	Serene Grace	Healer	255	10	10	75	135	55	540	103.2 lbs.	4'11"	Even the most ferocious Pokémon become calm when they eat Blissey's egg, which is said to be filled with happiness.	Its fluffy fur coat acts as a sensor, enabling it to read the feelings of people and Pokémon.	Happiness Pokémon	0	1	Chansey	Fairy	#N/A	Normal	Natural Cure / Serene Grace / Healer*
Raikou	243	243	Raikou	Raikou	Electric	#N/A	Pressure	#N/A	Inner Focus	90	85	75	115	100	115	580	392.4 lbs.	6'03"			Thunder Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Electric	Pressure / Inner Focus*
Entei	244	244	Entei	Entei	Fire	#N/A	Pressure	#N/A	Inner Focus	115	115	85	90	75	100	580	436.5 lbs.	6'11"			Volcano Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Fire	Pressure / Inner Focus*
Suicune	245	245	Suicune	Suicune	Water	#N/A	Pressure	#N/A	Inner Focus	100	75	115	90	115	85	580	412.3 lbs.	6'07"			Aurora Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Water	Pressure / Inner Focus*
Larvitar	246	246	Larvitar	Larvitar	Rock	Ground	Guts	#N/A	Sand Veil	50	64	50	45	50	41	300	158.7 lbs.	2'00"			Rock Skin Pokémon	0.5	0.5	#N/A	Monster	#N/A	Rock / Ground	Guts / Sand Veil*
Pupitar	247	247	Pupitar	Pupitar	Rock	Ground	Shed Skin	#N/A	#N/A	70	84	70	65	70	51	410	335.1 lbs.	3'11"			Hard Shell Pokémon	0.5	0.5	Larvitar	Monster	#N/A	Rock / Ground	Shed Skin
Tyranitar	248	248	Tyranitar	Tyranitar	Rock	Dark	Sand Stream	#N/A	Unnerve	100	134	110	95	100	61	600	445.3 lbs.	6'07"			Armor Pokémon	0.5	0.5	Pupitar	Monster	#N/A	Rock / Dark	Sand Stream / Unnerve*
Lugia	249	249	Lugia	Lugia	Psychic	Flying	Pressure	#N/A	Multiscale	106	90	130	90	154	110	680	476.2 lbs.	17'01"			Diving Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Psychic / Flying	Pressure / Multiscale*
Ho-Oh	250	250	Ho-Oh	Ho-Oh	Fire	Flying	Pressure	#N/A	Regenerator	106	130	90	110	154	90	680	438.7 lbs.	12'06"			Rainbow Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Fire / Flying	Pressure / Regenerator*
Celebi	251	251	Celebi	Celebi	Psychic	Grass	Natural Cure	#N/A	#N/A	100	100	100	100	100	100	600	11.0 lbs.	2'00"			Time Travel Pokémon	#N/A	#N/A	#N/A	Undiscovered	#N/A	Psychic / Grass	Natural Cure
Treecko	252	252	Treecko	Treecko	Grass	#N/A	Overgrow	#N/A	Unburden	40	45	35	65	55	70	310	11.0 lbs.	1'08"			Wood Gecko Pokémon	0.875	0.125	#N/A	Monster	Dragon	Grass	Overgrow / Unburden*
Grovyle	253	253	Grovyle	Grovyle	Grass	#N/A	Overgrow	#N/A	Unburden	50	65	45	85	65	95	405	47.6 lbs.	2'11"			Wood Gecko Pokémon	0.875	0.125	Treecko	Monster	Dragon	Grass	Overgrow / Unburden*
Sceptile	254	254	Sceptile	Sceptile	Grass	#N/A	Overgrow	#N/A	Unburden	70	85	65	105	85	120	530	115.1 lbs.	5'07"			Forest Pokémon	0.875	0.125	Grovyle	Monster	Dragon	Grass	Overgrow / Unburden*
Torchic	255	255	Torchic	Torchic	Fire	#N/A	Blaze	#N/A	Speed Boost	45	60	40	70	50	45	310	5.5 lbs.	1'04"			Chick Pokémon	0.875	0.125	#N/A	Field	#N/A	Fire	Blaze / Speed Boost*
Combusken	256	256	Combusken	Combusken	Fire	Fighting	Blaze	#N/A	Speed Boost	60	85	60	85	60	55	405	43.0 lbs.	2'11"			Young Fowl Pokémon	0.875	0.125	Torchic	Field	#N/A	Fire / Fighting	Blaze / Speed Boost*
Blaziken	257	257	Blaziken	Blaziken	Fire	Fighting	Blaze	#N/A	Speed Boost	80	120	70	110	70	80	530	114.6 lbs.	6'03"			Blaze Pokémon	0.875	0.125	Combusken	Field	#N/A	Fire / Fighting	Blaze / Speed Boost*
Mudkip	258	258	Mudkip	Mudkip	Water	#N/A	Torrent	#N/A	Damp	50	70	50	50	50	40	310	16.8 lbs.	1'04"			Mud Fish Pokémon	0.875	0.125	#N/A	Monster	Water 1	Water	Torrent / Damp*
Marshtomp	259	259	Marshtomp	Marshtomp	Water	Ground	Torrent	#N/A	Damp	70	85	70	60	70	50	405	61.7 lbs.	2'04"			Mud Fish Pokémon	0.875	0.125	Mudkip	Monster	Water 1	Water / Ground	Torrent / Damp*
Swampert	260	260	Swampert	Swampert	Water	Ground	Torrent	#N/A	Damp	100	110	90	85	90	60	535	180.6 lbs.	4'11"			Mud Fish Pokémon	0.875	0.125	Marshtomp	Monster	Water 1	Water / Ground	Torrent / Damp*
Poochyena	261	261	Poochyena	Poochyena	Dark	#N/A	Run Away	Quick Feet	Rattled	35	55	35	30	30	35	220	30.0 lbs.	1'08"			Bite Pokémon	0.5	0.5	#N/A	Field	#N/A	Dark	Run Away / Quick Feet / Rattled*
Mightyena	262	262	Mightyena	Mightyena	Dark	#N/A	Intimidate	Quick Feet	Moxie	70	90	70	60	60	70	420	81.6 lbs.	3'03"			Bite Pokémon	0.5	0.5	Poochyena	Field	#N/A	Dark	Intimidate / Quick Feet / Moxie*
Zigzagoon	263	263	Zigzagoon	Zigzagoon	Normal	#N/A	Pickup	Gluttony	Quick Feet	38	30	41	30	41	60	240	38.6 lbs.	1'04"			Tiny Raccoon Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal	Pickup / Gluttony / Quick Feet*
Linoone	264	264	Linoone	Linoone	Normal	#N/A	Pickup	Gluttony	Quick Feet	78	70	61	50	61	100	420	71.6 lbs.	1'08"			Rushing Pokémon	0.5	0.5	Zigzagoon	Field	#N/A	Normal	Pickup / Gluttony / Quick Feet*
Wurmple	265	265	Wurmple	Wurmple	Bug	#N/A	Shield Dust	#N/A	Run Away	45	45	35	20	30	20	195	7.9 lbs.	1'00"			Worm Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug	Shield Dust / Run Away*
Silcoon	266	266	Silcoon	Silcoon	Bug	#N/A	Shed Skin	#N/A	#N/A	50	35	55	25	25	15	205	22.0 lbs.	2'00"			Cocoon Pokémon	0.5	0.5	Wurmple	Bug	#N/A	Bug	Shed Skin
Beautifly	267	267	Beautifly	Beautifly	Bug	Flying	Swarm	#N/A	Rivalry	60	70	50	100	50	65	395	62.6 lbs.	3'03"			Butterfly Pokémon	0.5	0.5	Silcoon	Bug	#N/A	Bug / Flying	Swarm / Rivalry*
Cascoon	268	268	Cascoon	Cascoon	Bug	#N/A	Shed Skin	#N/A	#N/A	50	35	55	25	25	15	205	25.4 lbs.	2'04"			Cocoon Pokémon	0.5	0.5	Wurmple	Bug	#N/A	Bug	Shed Skin
Dustox	269	269	Dustox	Dustox	Bug	Poison	Shield Dust	#N/A	Compound Eyes	60	50	70	50	90	65	385	69.7 lbs.	3'11"			Poison Moth Pokémon	0.5	0.5	Cascoon	Bug	#N/A	Bug / Poison	Shield Dust / Compound Eyes*
Lotad	270	270	Lotad	Lotad	Water	Grass	Swift Swim	Rain Dish	Own Tempo	40	30	30	40	50	30	220	5.7 lbs.	1'08"			Water Weed Pokémon	0.5	0.5	#N/A	Water 1	Grass	Water / Grass	Swift Swim / Rain Dish / Own Tempo*
Lombre	271	271	Lombre	Lombre	Water	Grass	Swift Swim	Rain Dish	Own Tempo	60	50	50	60	70	50	340	71.6 lbs.	3'11"			Jolly Pokémon	0.5	0.5	Lotad	Water 1	Grass	Water / Grass	Swift Swim / Rain Dish / Own Tempo*
Ludicolo	272	272	Ludicolo	Ludicolo	Water	Grass	Swift Swim	Rain Dish	Own Tempo	80	70	70	90	100	70	480	121.3 lbs.	4'11"			Carefree Pokémon	0.5	0.5	Lombre	Water 1	Grass	Water / Grass	Swift Swim / Rain Dish / Own Tempo*
Seedot	273	273	Seedot	Seedot	Grass	#N/A	Chlorophyll	Early Bird	Pickpocket	40	40	50	30	30	30	220	8.8 lbs.	1'08"			Acorn Pokémon	0.5	0.5	#N/A	Field	Grass	Grass	Chlorophyll / Early Bird / Pickpocket*
Nuzleaf	274	274	Nuzleaf	Nuzleaf	Grass	Dark	Chlorophyll	Early Bird	Pickpocket	70	70	40	60	40	60	340	61.7 lbs.	3'03"			Wily Pokémon	0.5	0.5	Seedot	Field	Grass	Grass / Dark	Chlorophyll / Early Bird / Pickpocket*
Shiftry	275	275	Shiftry	Shiftry	Grass	Dark	Chlorophyll	Early Bird	Pickpocket	90	100	60	90	60	80	480	131.4 lbs.	4'03"			Wicked Pokémon	0.5	0.5	Nuzleaf	Field	Grass	Grass / Dark	Chlorophyll / Early Bird / Pickpocket*
Taillow	276	276	Taillow	Taillow	Normal	Flying	Guts	#N/A	Scrappy	40	55	30	30	30	85	270	5.1 lbs.	1'00"			Tiny Swallow Pokémon	0.5	0.5	#N/A	Flying	#N/A	Normal / Flying	Guts / Scrappy*
Swellow	277	277	Swellow	Swellow	Normal	Flying	Guts	#N/A	Scrappy	60	85	60	75	50	125	455	43.7 lbs.	2'04"			Swallow Pokémon	0.5	0.5	Taillow	Flying	#N/A	Normal / Flying	Guts / Scrappy*
Wingull	278	278	Wingull	Wingull	Water	Flying	Keen Eye	Hydration	Rain Dish	40	30	30	55	30	85	270	20.9 lbs.	2'00"	Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.	Fishermen keep an eye out for Wingull in the sky, because wherever they're circling, the ocean is sure to be teeming with fish Pokémon.	Seagull Pokémon	0.5	0.5	#N/A	Water 1	Flying	Water / Flying	Keen Eye / Hydration / Rain Dish*
Pelipper	279	279	Pelipper	Pelipper	Water	Flying	Keen Eye	Drizzle	Rain Dish	60	50	100	95	70	65	440	61.7 lbs.	3'11"	Its spacious beak is large enough for a small child to fit right inside.	Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.	Water Bird Pokémon	0.5	0.5	Wingull	Water 1	Flying	Water / Flying	Keen Eye / Drizzle / Rain Dish*
Ralts	280	280	Ralts	Ralts	Psychic	Fairy	Synchronize	Trace	Telepathy	28	25	25	45	35	40	198	14.6 lbs.	1'04"			Feeling Pokémon	0.5	0.5	#N/A	Amorphous	#N/A	Psychic / Fairy	Synchronize / Trace / Telepathy*
Kirlia	281	281	Kirlia	Kirlia	Psychic	Fairy	Synchronize	Trace	Telepathy	38	35	35	65	55	50	278	44.5 lbs.	2'07"			Emotion Pokémon	0.5	0.5	Ralts	Amorphous	#N/A	Psychic / Fairy	Synchronize / Trace / Telepathy*
Gardevoir	282	282	Gardevoir	Gardevoir	Psychic	Fairy	Synchronize	Trace	Telepathy	68	65	65	125	115	80	518	106.7 lbs.	5'03"			Embrace Pokémon	0.5	0.5	Kirlia	Amorphous	#N/A	Psychic / Fairy	Synchronize / Trace / Telepathy*
Surskit	283	283	Surskit	Surskit	Bug	Water	Swift Swim	#N/A	Rain Dish	40	30	32	50	52	65	269	3.7 lbs.	1'08"	It moves as if skating on the surface of the water. It often fights with Dewpider over food.	When this Pokémon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird Pokémon.	Pond Skater Pokémon	0.5	0.5	#N/A	Water 1	Bug	Bug / Water	Swift Swim / Rain Dish*
Masquerain	284	284	Masquerain	Masquerain	Bug	Flying	Intimidate	#N/A	Unnerve	70	60	62	100	82	80	454	7.9 lbs.	2'07"	It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.	Its wings and antennae don't cope well with moisture. After a rain, it faces sunward to dry off.	Eyeball Pokémon	0.5	0.5	Surskit	Water 1	Bug	Bug / Flying	Intimidate / Unnerve*
Shroomish	285	285	Shroomish	Shroomish	Grass	#N/A	Effect Spore	Poison Heal	Quick Feet	60	40	60	40	60	35	295	9.9 lbs.	1'04"			Mushroom Pokémon	0.5	0.5	#N/A	Fairy	Grass	Grass	Effect Spore / Poison Heal / Quick Feet*
Breloom	286	286	Breloom	Breloom	Grass	Fighting	Effect Spore	Poison Heal	Technician	60	130	80	60	60	70	460	86.4 lbs.	3'11"			Mushroom Pokémon	0.5	0.5	Shroomish	Fairy	Grass	Grass / Fighting	Effect Spore / Poison Heal / Technician*
Slakoth	287	287	Slakoth	Slakoth	Normal	#N/A	Truant	#N/A	#N/A	60	60	60	35	35	30	280	52.9 lbs.	2'07"			Slacker Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal	Truant
Vigoroth	288	288	Vigoroth	Vigoroth	Normal	#N/A	Vital Spirit	#N/A	#N/A	80	80	80	55	55	90	440	102.5 lbs.	4'07"			Wild Monkey Pokémon	0.5	0.5	Slakoth	Field	#N/A	Normal	Vital Spirit
Slaking	289	289	Slaking	Slaking	Normal	#N/A	Truant	#N/A	#N/A	150	160	100	95	65	100	670	287.7 lbs.	6'07"			Lazy Pokémon	0.5	0.5	Vigoroth	Field	#N/A	Normal	Truant
Nincada	290	290	Nincada	Nincada	Bug	Ground	Compound Eyes	#N/A	Run Away	31	45	90	30	30	40	266	12.1 lbs.	1'08"			Trainee Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Ground	Compound Eyes / Run Away*
Ninjask	291	291	Ninjask	Ninjask	Bug	Flying	Speed Boost	#N/A	Infiltrator	61	90	45	50	50	160	456	26.5 lbs.	2'07"			Ninja Pokémon	0.5	0.5	Nincada	Bug	#N/A	Bug / Flying	Speed Boost / Infiltrator*
Shedinja	292	292	Shedinja	Shedinja	Bug	Ghost	Wonder Guard	#N/A	Wonder Guard	1	90	45	30	30	40	236	2.6 lbs.	2'07"			Shed Pokémon	#N/A	#N/A	Nincada	Mineral	#N/A	Bug / Ghost	Wonder Guard
Whismur	293	293	Whismur	Whismur	Normal	#N/A	Soundproof	#N/A	Rattled	64	51	23	51	23	28	240	35.9 lbs.	2'00"			Whisper Pokémon	0.5	0.5	#N/A	Monster	Field	Normal	Soundproof / Rattled*
Loudred	294	294	Loudred	Loudred	Normal	#N/A	Soundproof	#N/A	Scrappy	84	71	43	71	43	48	360	89.3 lbs.	3'03"			Big Voice Pokémon	0.5	0.5	Whismur	Monster	Field	Normal	Soundproof / Scrappy*
Exploud	295	295	Exploud	Exploud	Normal	#N/A	Soundproof	#N/A	Scrappy	104	91	63	91	73	68	490	185.2 lbs.	4'11"			Loud Noise Pokémon	0.5	0.5	Loudred	Monster	Field	Normal	Soundproof / Scrappy*
Makuhita	296	296	Makuhita	Makuhita	Fighting	#N/A	Thick Fat	Guts	Sheer Force	72	60	30	20	30	25	237	190.5 lbs.	3'03"	It was originally brought in from another region, but now Makuhita from Alola are more famous.	Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.	Guts Pokémon	0.5	0.5	#N/A	Human-Like	#N/A	Fighting	Thick Fat / Guts / Sheer Force*
Hariyama	297	297	Hariyama	Hariyama	Fighting	#N/A	Thick Fat	Guts	Sheer Force	144	120	60	40	60	50	474	559.5 lbs.	7'07"	It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.	They love to compare their freakish strength— strength enough to send a truck flying with a single slap.	Arm Thrust Pokémon	0.5	0.5	Makuhita	Human-Like	#N/A	Fighting	Thick Fat / Guts / Sheer Force*
Azurill	298	298	Azurill	Azurill	Normal	Fairy	Thick Fat	Huge Power	Sap Sipper	50	20	40	20	40	20	190	4.4 lbs.	0'08"			Polka Dot Pokémon	0.25	0.75	#N/A	Undiscovered	#N/A	Normal / Fairy	Thick Fat / Huge Power / Sap Sipper*
Nosepass	299	299	Nosepass	Nosepass	Rock	#N/A	Sturdy	Magnet Pull	Sand Force	30	45	135	45	90	30	375	213.8 lbs.	3'03"	The magnet in Nosepass's nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.	It uses powerful magnetism to drag its prey toward it. It's also been known to pull in metal, which it collects and uses to protect itself.	Compass Pokémon	0.5	0.5	#N/A	Mineral	#N/A	Rock	Sturdy / Magnet Pull / Sand Force*
Skitty	300	300	Skitty	Skitty	Normal	#N/A	Cute Charm	Normalize	Wonder Skin	50	45	45	35	35	50	260	24.3 lbs.	2'00"			Kitten Pokémon	0.25	0.75	#N/A	Field	Fairy	Normal	Cute Charm / Normalize / Wonder Skin*
Delcatty	301	301	Delcatty	Delcatty	Normal	#N/A	Cute Charm	Normalize	Wonder Skin	70	65	65	55	55	90	400	71.9 lbs.	3'07"			Prim Pokémon	0.25	0.75	Skitty	Field	Fairy	Normal	Cute Charm / Normalize / Wonder Skin*
Sableye	302	302	Sableye	Sableye	Dark	Ghost	Keen Eye	Stall	Prankster	50	75	75	65	65	50	380	24.3 lbs.	1'08"	It's a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.	This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it's believed that Sableye will steal people's spirits away.	Darkness Pokémon	0.5	0.5	#N/A	Human-Like	#N/A	Dark / Ghost	Keen Eye / Stall / Prankster*
Mawile	303	303	Mawile	Mawile	Steel	Fairy	Hyper Cutter	Intimidate	Sheer Force	50	85	85	55	55	50	380	25.4 lbs.	2'00"			Deceiver Pokémon	0.5	0.5	#N/A	Field	Fairy	Steel / Fairy	Hyper Cutter / Intimidate / Sheer Force*
Aron	304	304	Aron	Aron	Steel	Rock	Sturdy	Rock Head	Heavy Metal	50	70	100	40	40	30	330	132.3 lbs.	1'04"			Iron Armor Pokémon	0.5	0.5	#N/A	Monster	#N/A	Steel / Rock	Sturdy / Rock Head / Heavy Metal*
Lairon	305	305	Lairon	Lairon	Steel	Rock	Sturdy	Rock Head	Heavy Metal	60	90	140	50	50	40	430	264.6 lbs.	2'11"			Iron Armor Pokémon	0.5	0.5	Aron	Monster	#N/A	Steel / Rock	Sturdy / Rock Head / Heavy Metal*
Aggron	306	306	Aggron	Aggron	Steel	Rock	Sturdy	Rock Head	Heavy Metal	70	110	180	60	60	50	530	793.7 lbs.	6'11"			Iron Armor Pokémon	0.5	0.5	Lairon	Monster	#N/A	Steel / Rock	Sturdy / Rock Head / Heavy Metal*
Meditite	307	307	Meditite	Meditite	Fighting	Psychic	Pure Power	#N/A	Telepathy	30	40	55	40	55	60	280	24.7 lbs.	2'00"			Meditate Pokémon	0.5	0.5	#N/A	Human-Like	#N/A	Fighting / Psychic	Pure Power / Telepathy*
Medicham	308	308	Medicham	Medicham	Fighting	Psychic	Pure Power	#N/A	Telepathy	60	60	75	60	75	80	410	69.4 lbs.	4'03"			Meditate Pokémon	0.5	0.5	Meditite	Human-Like	#N/A	Fighting / Psychic	Pure Power / Telepathy*
Electrike	309	309	Electrike	Electrike	Electric	#N/A	Static	Lightning Rod	Minus	40	45	40	65	40	65	295	33.5 lbs.	2'00"			Lightning Pokémon	0.5	0.5	#N/A	Field	#N/A	Electric	Static / Lightning Rod / Minus*
Manectric	310	310	Manectric	Manectric	Electric	#N/A	Static	Lightning Rod	Minus	70	75	60	105	60	105	475	88.6 lbs.	4'11"			Discharge Pokémon	0.5	0.5	Electrike	Field	#N/A	Electric	Static / Lightning Rod / Minus*
Plusle	311	311	Plusle	Plusle	Electric	#N/A	Plus	#N/A	Lightning Rod	60	50	40	85	75	95	405	9.3 lbs.	1'04"			Cheering Pokémon	0.5	0.5	#N/A	Fairy	#N/A	Electric	Plus / Lightning Rod*
Minun	312	312	Minun	Minun	Electric	#N/A	Minus	#N/A	Volt Absorb	60	40	50	75	85	95	405	9.3 lbs.	1'04"			Cheering Pokémon	0.5	0.5	#N/A	Fairy	#N/A	Electric	Minus / Volt Absorb*
Volbeat	313	313	Volbeat	Volbeat	Bug	#N/A	Illuminate	Swarm	Prankster	65	73	75	47	85	85	430	39.0 lbs.	2'04"			Firefly Pokémon	1	0	#N/A	Bug	Human-Like	Bug	Illuminate / Swarm / Prankster*
Illumise	314	314	Illumise	Illumise	Bug	#N/A	Oblivious	Tinted Lens	Prankster	65	47	75	73	85	85	430	39.0 lbs.	2'00"			Firefly Pokémon	0	1	#N/A	Bug	Human-Like	Bug	Oblivious / Tinted Lens / Prankster*
Roselia	315	315	Roselia	Roselia	Grass	Poison	Natural Cure	Poison Point	Leaf Guard	50	60	45	100	80	65	400	4.4 lbs.	1'00"			Thorn Pokémon	0.5	0.5	Budew	Fairy	Grass	Grass / Poison	Natural Cure / Poison Point / Leaf Guard*
Gulpin	316	316	Gulpin	Gulpin	Poison	#N/A	Liquid Ooze	Sticky Hold	Gluttony	70	43	53	43	53	40	302	22.7 lbs.	1'04"			Stomach Pokémon	0.5	0.5	#N/A	Amorphous	#N/A	Poison	Liquid Ooze / Sticky Hold / Gluttony*
Swalot	317	317	Swalot	Swalot	Poison	#N/A	Liquid Ooze	Sticky Hold	Gluttony	100	73	83	73	83	55	467	176.4 lbs.	5'07"			Poison Bag Pokémon	0.5	0.5	Gulpin	Amorphous	#N/A	Poison	Liquid Ooze / Sticky Hold / Gluttony*
Carvanha	318	318	Carvanha	Carvanha	Water	Dark	Rough Skin	#N/A	Speed Boost	45	90	20	65	20	65	305	45.9 lbs.	2'07"	Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.	If they scent the faintest trace of blood, they rush to attack en masse. When alone, they're rather cowardly.	Savage Pokémon	0.5	0.5	#N/A	Water 2	#N/A	Water / Dark	Rough Skin / Speed Boost*
Sharpedo	319	319	Sharpedo	Sharpedo	Water	Dark	Rough Skin	#N/A	Speed Boost	70	120	40	95	40	95	460	195.8 lbs.	5'11"	It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.	It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokémon became a victim of overfishing.	Brutal Pokémon	0.5	0.5	Carvanha	Water 2	#N/A	Water / Dark	Rough Skin / Speed Boost*
Wailmer	320	320	Wailmer	Wailmer	Water	#N/A	Water Veil	Oblivious	Pressure	130	70	35	70	35	60	400	286.6 lbs.	6'07"	It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.	It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.	Ball Whale Pokémon	0.5	0.5	#N/A	Field	Water 2	Water	Water Veil / Oblivious / Pressure*
Wailord	321	321	Wailord	Wailord	Water	#N/A	Water Veil	Oblivious	Pressure	170	90	45	90	45	60	500	877.4 lbs.	47'07"	Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.	Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.	Float Whale Pokémon	0.5	0.5	Wailmer	Field	Water 2	Water	Water Veil / Oblivious / Pressure*
Numel	322	322	Numel	Numel	Fire	Ground	Oblivious	Simple	Own Tempo	60	60	40	65	45	35	305	52.9 lbs.	2'04"			Numb Pokémon	0.5	0.5	#N/A	Field	#N/A	Fire / Ground	Oblivious / Simple / Own Tempo*
Camerupt	323	323	Camerupt	Camerupt	Fire	Ground	Magma Armor	Solid Rock	Anger Point	70	100	70	105	75	40	460	485.0 lbs.	6'03"			Eruption Pokémon	0.5	0.5	Numel	Field	#N/A	Fire / Ground	Magma Armor / Solid Rock / Anger Point*
Torkoal	324	324	Torkoal	Torkoal	Fire	#N/A	White Smoke	Drought	Shell Armor	70	85	140	85	70	20	470	177.2 lbs.	1'08"	Coal is the source of Torkoal's energy. Large amounts of coal can be found in the mountains where they live.	If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.	Coal Pokémon	0.5	0.5	#N/A	Field	#N/A	Fire	White Smoke / Drought / Shell Armor*
Spoink	325	325	Spoink	Spoink	Psychic	#N/A	Thick Fat	Own Tempo	Gluttony	60	25	35	70	80	60	330	67.5 lbs.	2'04"			Bounce Pokémon	0.5	0.5	#N/A	Field	#N/A	Psychic	Thick Fat / Own Tempo / Gluttony*
Grumpig	326	326	Grumpig	Grumpig	Psychic	#N/A	Thick Fat	Own Tempo	Gluttony	80	45	65	90	110	80	470	157.6 lbs.	2'11"			Manipulate Pokémon	0.5	0.5	Spoink	Field	#N/A	Psychic	Thick Fat / Own Tempo / Gluttony*
Spinda	327	327	Spinda	Spinda	Normal	#N/A	Own Tempo	Tangled Feet	Contrary	60	60	60	60	60	60	360	11.0 lbs.	3'07"	Its steps are staggering and unsteady, but Spinda thinks it's walking in a straight line.	Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.	Spot Panda Pokémon	0.5	0.5	#N/A	Field	Human-Like	Normal	Own Tempo / Tangled Feet / Contrary*
Trapinch	328	328	Trapinch	Trapinch	Ground	#N/A	Hyper Cutter	Arena Trap	Sheer Force	45	100	45	45	45	10	290	33.1 lbs.	2'04"	It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.	As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.	Ant Pit Pokémon	0.5	0.5	#N/A	Bug	#N/A	Ground	Hyper Cutter / Arena Trap / Sheer Force*
Vibrava	329	329	Vibrava	Vibrava	Ground	Dragon	Levitate	#N/A	#N/A	50	70	50	50	50	70	340	33.7 lbs.	3'07"	Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.	To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.	Vibration Pokémon	0.5	0.5	Trapinch	Bug	#N/A	Ground / Dragon	Levitate
Flygon	330	330	Flygon	Flygon	Ground	Dragon	Levitate	#N/A	#N/A	80	100	80	80	80	100	520	180.8 lbs.	6'07"	The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon's prey.	This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.	Mystic Pokémon	0.5	0.5	Vibrava	Bug	#N/A	Ground / Dragon	Levitate
Cacnea	331	331	Cacnea	Cacnea	Grass	#N/A	Sand Veil	#N/A	Water Absorb	50	85	40	85	40	35	335	113.1 lbs.	1'04"			Cactus Pokémon	0.5	0.5	#N/A	Grass	Human-Like	Grass	Sand Veil / Water Absorb*
Cacturne	332	332	Cacturne	Cacturne	Grass	Dark	Sand Veil	#N/A	Water Absorb	70	115	60	115	60	55	475	170.6 lbs.	4'03"			Scarecrow Pokémon	0.5	0.5	Cacnea	Grass	Human-Like	Grass / Dark	Sand Veil / Water Absorb*
Swablu	333	333	Swablu	Swablu	Normal	Flying	Natural Cure	#N/A	Cloud Nine	45	40	60	40	75	50	310	2.6 lbs.	1'04"			Cotton Bird Pokémon	0.5	0.5	#N/A	Flying	Dragon	Normal / Flying	Natural Cure / Cloud Nine*
